strategy,baseline_tag,ticker,side,entry_date,exit_date,horizon,entry_price,exit_price,raw_return_pct,adjusted_return_pct,stop_hit,target_hit,sector,source_backtest,friction_model,notes
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-10-03,,90,77.5700,101.3685,30.680000,30.380000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=72.1800; target_price=91.0500
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-10-03,,130,77.5700,98.8862,27.480000,27.180000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=72.1800; target_price=91.0500
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-10-03,,252,77.5700,97.2185,25.330000,25.030000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=72.1800; target_price=91.0500
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2023-01-03,,30,98.7900,108.4912,9.820000,9.520000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=81.8800; target_price=141.0600
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2023-01-03,,90,98.7900,98.8690,0.080000,-0.220000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=81.8800; target_price=141.0600
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2023-01-03,,130,98.7900,100.3904,1.620000,1.320000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=81.8800; target_price=141.0600
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2023-01-03,,252,98.7900,98.1676,-0.630000,-0.930000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=81.8800; target_price=141.0600
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-01-03,,30,156.7200,153.6013,-1.990000,-2.290000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=137.1900; target_price=205.5400
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-01-03,,90,156.7200,142.3331,-9.180000,-9.480000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=137.1900; target_price=205.5400
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-01-03,,130,156.7200,146.5019,-6.520000,-6.820000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=137.1900; target_price=205.5400
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-01-03,,252,156.7200,141.0480,-10.000000,-10.300000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=137.1900; target_price=205.5400
VOYAGER,voyager_v2_full_modeA,WMT,LONG,2023-04-03,,30,47.4800,48.0165,1.130000,0.830000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=65; size_bucket=large; stop_price=42.7400; target_price=59.3300
VOYAGER,voyager_v2_full_modeA,WMT,LONG,2023-04-03,,90,47.4800,51.8529,9.210000,8.910000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=65; size_bucket=large; stop_price=42.7400; target_price=59.3300
VOYAGER,voyager_v2_full_modeA,WMT,LONG,2023-04-03,,130,47.4800,50.1294,5.580000,5.280000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=65; size_bucket=large; stop_price=42.7400; target_price=59.3300
VOYAGER,voyager_v2_full_modeA,WMT,LONG,2023-04-03,,252,47.4800,57.8306,21.800000,21.500000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=65; size_bucket=large; stop_price=42.7400; target_price=59.3300
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2023-10-02,,30,478.9600,505.0154,5.440000,5.140000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=448.8300; target_price=554.2800
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2023-10-02,,90,478.9600,483.9891,1.050000,0.750000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=448.8300; target_price=554.2800
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2023-10-02,,130,478.9600,431.0640,-10.000000,-10.300000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=448.8300; target_price=554.2800
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2023-10-02,,252,478.9600,559.7606,16.870000,16.570000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=448.8300; target_price=554.2800
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2023-10-02,,30,135.2500,127.7436,-5.550000,-5.850000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=130.0500; target_price=148.2600
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2023-10-02,,90,135.2500,161.9213,19.720000,19.420000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=130.0500; target_price=148.2600
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2023-10-02,,130,135.2500,158.2695,17.020000,16.720000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=130.0500; target_price=148.2600
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2023-10-02,,252,135.2500,186.5368,37.920000,37.620000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=130.0500; target_price=148.2600
VOYAGER,voyager_v2_full_modeA,GE,LONG,2023-10-02,,30,86.9000,92.2791,6.190000,5.890000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=67; size_bucket=large; stop_price=73.8800; target_price=119.4400
VOYAGER,voyager_v2_full_modeA,GE,LONG,2023-10-02,,90,86.9000,111.3189,28.100000,27.800000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=67; size_bucket=large; stop_price=73.8800; target_price=119.4400
VOYAGER,voyager_v2_full_modeA,GE,LONG,2023-10-02,,130,86.9000,154.8210,78.160000,77.860000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=67; size_bucket=large; stop_price=73.8800; target_price=119.4400
VOYAGER,voyager_v2_full_modeA,GE,LONG,2023-10-02,,252,86.9000,187.7909,116.100000,115.800000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=67; size_bucket=large; stop_price=73.8800; target_price=119.4400
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-10-02,,30,151.4200,130.9329,-13.530000,-13.830000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=140.5900; target_price=178.5000
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-10-02,,90,151.4200,138.7916,-8.340000,-8.640000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=140.5900; target_price=178.5000
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-10-02,,130,151.4200,150.4358,-0.650000,-0.950000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=140.5900; target_price=178.5000
VOYAGER,voyager_v2_full_modeA,CVX,LONG,2023-10-02,,252,151.4200,143.1676,-5.450000,-5.750000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=140.5900; target_price=178.5000
VOYAGER,voyager_v2_full_modeA,COST,LONG,2023-10-02,,30,544.7400,552.3664,1.400000,1.100000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=478.3100; target_price=710.8200
VOYAGER,voyager_v2_full_modeA,COST,LONG,2023-10-02,,90,544.7400,707.5628,29.890000,29.590000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=478.3100; target_price=710.8200
VOYAGER,voyager_v2_full_modeA,COST,LONG,2023-10-02,,130,544.7400,702.8780,29.030000,28.730000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=478.3100; target_price=710.8200
VOYAGER,voyager_v2_full_modeA,COST,LONG,2023-10-02,,252,544.7400,861.9421,58.230000,57.930000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=74; size_bucket=large; stop_price=478.3100; target_price=710.8200
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2024-10-01,,30,186.1500,163.0116,-12.430000,-12.730000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=157.0800; target_price=258.8100
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2024-10-01,,90,186.1500,184.5119,-0.880000,-1.180000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=157.0800; target_price=258.8100
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2024-10-01,,130,186.1500,172.9892,-7.070000,-7.370000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=157.0800; target_price=258.8100
VOYAGER,voyager_v2_full_modeA,ABBV,LONG,2024-10-01,,252,186.1500,229.0762,23.060000,22.760000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=157.0800; target_price=258.8100
VOYAGER,voyager_v2_full_modeA,TMO,LONG,2024-10-01,,30,615.3000,542.8177,-11.780000,-12.080000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=551.7700; target_price=774.1200
VOYAGER,voyager_v2_full_modeA,TMO,LONG,2024-10-01,,90,615.3000,547.7401,-10.980000,-11.280000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=551.7700; target_price=774.1200
VOYAGER,voyager_v2_full_modeA,TMO,LONG,2024-10-01,,130,615.3000,455.9988,-25.890000,-26.190000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=551.7700; target_price=774.1200
VOYAGER,voyager_v2_full_modeA,TMO,LONG,2024-10-01,,252,615.3000,547.3709,-11.040000,-11.340000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=69; size_bucket=large; stop_price=551.7700; target_price=774.1200
VOYAGER,voyager_v2_full_modeA,ISRG,LONG,2024-10-01,,30,491.2700,544.2780,10.790000,10.490000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=397.3400; target_price=726.0800
VOYAGER,voyager_v2_full_modeA,ISRG,LONG,2024-10-01,,90,491.2700,599.5950,22.050000,21.750000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=397.3400; target_price=726.0800
VOYAGER,voyager_v2_full_modeA,ISRG,LONG,2024-10-01,,130,491.2700,529.9821,7.880000,7.580000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=397.3400; target_price=726.0800
VOYAGER,voyager_v2_full_modeA,ISRG,LONG,2024-10-01,,252,491.2700,458.4040,-6.690000,-6.990000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=66; size_bucket=large; stop_price=397.3400; target_price=726.0800
